trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,13,-9.965261679104369,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-63.921300962199794,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-109.68171750944558,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-136.44201366031342,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-106.11041173958596,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-115.44157244645764,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,11,-0.6589935333182646,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-98.8057075871098,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-110.39828793005204,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-106.11817197385422,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-48.299759969117964,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,10,-6.221709755459728,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-112.18259078336918,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-64.53404224463947,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,-49.04484555954999,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,-98.45227538917635,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,6.375690060303876,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-21.164403382792806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-31.04441304930836,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,-72.44613224826412,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-96.72567146600461,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,25.488576174106015,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,18,-34.61480248824919,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.35977970590953,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,2,-7.413079241749721,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,17.0768349271332,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-163.37449013739865,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,11,16.400842255581058,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-58.13115914219483,"{0: 30, 1: 1, 2: 1, 3: 2, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-76.773349635437,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
