trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9931728675778618}",20,13,2.0177005152768688,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.993035910822238}",30,0,-171.97816476298496,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.9928962262756112}",35,0,-239.70474308155255,"{0: 18, 1: 4, 2: 9, 3: 1, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.9927537604041685}",20,0,-98.67757392299475,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.992608458655718}",20,0,-91.36580634798473,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9924602654416266}",25,0,-85.02593975027574,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9923091241184917}",25,10,-23.402807468557082,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.9921549769695444}",25,0,-138.91981844290885,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.9919977651857838}",25,0,-203.34075793281923,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.9918374288468401}",30,0,-196.88354176974298,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9916739069015662}",20,0,-96.33404353923447,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.9915071371483557}",20,0,-151.6823954724306,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.9913370562151869}",20,0,-100.66944876765517,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.9911635995393923}",20,0,-69.02073578105914,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.9909867013471522}",25,0,-131.4515064243291,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.9908062946327119}",25,0,-87.42455710311687,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.9906223111373231}",20,0,-210.27954725064973,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 4}",0
18,False,"{'a': 0.8, 'e': 0.9904346813279084}",30,0,-183.44163065235568,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.9902433343754486}",20,0,-138.1022667296522,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.8, 'e': 0.9900481981330956}",20,0,-81.04989697504793,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.9898491991140073}",25,0,-172.62675725396608,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
22,False,"{'a': 0.8, 'e': 0.9896462624689083}",25,0,-137.20227132815427,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.9894393119633769}",25,0,-149.765120276656,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.8, 'e': 0.9892282699548584}",20,0,-118.72833572588222,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.9890130573694068}",20,0,-116.92561519587842,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.9887935936781571}",30,0,-217.83892323935228,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
27,False,"{'a': 0.8, 'e': 0.9885697968735293}",20,0,-91.27525196547109,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.9883415834451669}",30,0,-196.50478710907367,"{0: 14, 1: 8, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.8, 'e': 0.988108868355613}",30,0,-233.9699141672238,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
